MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.2,2,-0.003831529219345895,-0.3579,-0.006943313033136359,-0.4896,-0.010395381988543733,0.005802771584310167,-641.1157,-661.6864,0.0005613688167728949,-13.3708,-0.5661,-0.5755,0.10740483878795484,-0.10928375520623186,-0.7155125683790037,-0.7292664592997232,0.06984,-0.003315999999999999
0.2,3,-0.010269643312095284,-0.5608,-0.01687705085976989,-0.7123,-0.03253596661187372,0.01674660654683817,-627.8484,-657.2212,0.002067999440240271,-13.8697,-0.5602,-0.5696,0.10799993199648394,-0.10949210562275094,-0.719739298560247,-0.7314699468339005,0.07038,-0.0038199999999999966
0.2,5,-0.04240300961374268,-0.9964,-0.05446024391819334,-1.0326,-0.14182591641311076,0.11774055717658134,-601.3748,-643.6365,0.0005344006653981902,-14.7888,-0.541,-0.5504,0.10897359535938841,-0.10720315600804028,-0.7267167098545175,-0.7177647344903251,0.07176,-0.0049919999999999964
0.2,7,-0.09359644417782949,-1.4727,-0.11557708254138929,-1.2629,-0.31007934187478686,0.24605172007137843,-572.615,-624.5057,0.0013465801762468218,-15.6723,-0.5102,-0.5196,0.1094990020843134,-0.10151284124863316,-0.7303805239637119,-0.6818412896577124,0.07266,-0.006152000000000002
0.2,10,-0.19797031089985476,-2.267,-0.22603608279602302,-1.5109,-0.5639540148615525,0.4351204849212314,-524.4238,-590.1385,0.004073632214735302,-16.8615,-0.4385,-0.4478,0.10876309737256287,-0.08742047367564083,-0.724124161066823,-0.5915455946106801,0.0715,-0.007404000000000002
0.2,15,-0.528770409094734,-3.6791,-0.46296910034804317,-0.6071,-1.412233676018236,1.8792129183270667,-490.1042,-539.389,-0.14010695417553284,-17.9148,-0.2984,-0.3075,0.10284173815760056,-0.061835522022065804,-0.6801784496614128,-0.4228322443977686,0.06306,-0.007264
0.2,20,-1.031085054667787,-5.0734,-0.7837927194788099,2.0752,-3.0745957160494304,4.823491759378095,-512.6168,-501.7972,-0.5291338645412371,-18.7463,-0.135,-0.1439,0.09080336219073348,-0.040032017841051495,-0.6014934915087908,-0.27799442469015245,0.0504,-0.005107999999999999
0.3,0,0.0,-0.0,0.0,0.0,0.0,0.0,-676.1807,-676.0621,0.0,-12.8895,-0.5674,-0.5769,0.10734106716128153,-0.10734106716128153,-0.7151798475519205,-0.7151798475519205,0.06992000000000001,-0.0025639999999999973
0.3,1,-0.0005171935700977681,-0.1728,-0.0010098799422814174,-0.2596,-0.0020461428931506614,0.00135259297007906,-663.7864,-675.0494,0.0,-13.056,-0.5664,-0.5759,0.10763469814166768,-0.10884316524437194,-0.7172478832177702,-0.7259825934381496,0.07004,-0.002831999999999999
0.3,2,-0.0037917271897337005,-0.3595,-0.006952146190787312,-0.5025,-0.0102511209435789,0.005709547998027176,-650.5765,-672.3643,0.0005613688167728949,-13.4613,-0.563,-0.5724,0.1081030231301747,-0.1098588337794331,-0.7205928912596031,-0.7335945004341812,0.07036,-0.003248000000000002
