time,thrust
1.122,273.0011752577319
1.1320000000000001,279.7367010309278
1.1420000000000001,281.3143917525773
1.1520000000000001,282.7707216494845
1.162,293.73364948453604
1.172,284.3888659793814
1.182,292.7425360824742
1.192,297.8801443298969
1.202,299.80169072164944
1.212,289.7489690721649
1.222,295.8170103092783
1.232,292.054824742268
1.242,284.46977319587626
1.252,290.4569072164948
1.262,289.62760824742264
1.272,291.8323298969072
1.282,292.47958762886594
1.292,291.3468865979381
1.302,292.66162886597937
1.312,299.53874226804123
1.322,291.8525567010309
1.332,296.68676288659793
1.342,301.6423298969072
1.352,300.79280412371133
1.362,307.08334020618554
1.372,300.63098969072166
1.3820000000000001,311.5736907216494
1.3920000000000001,306.5372164948453
1.4020000000000001,317.8237731958763
1.412,314.40544329896903
1.422,297.3542474226804
1.432,311.97822680412366
1.442,310.1982680412371
1.452,312.76707216494844
1.462,310.92643298969074
1.5190000000000001,325.4897319587629
1.5290000000000001,327.63377319587624
1.539,323.9929484536082
1.549,325.2874639175257
1.559,326.82470103092777
1.569,334.9356494845361
1.579,333.66136082474225
1.589,329.3530515463917
1.599,329.1710103092783
1.609,334.71315463917523
1.619,340.27552577319585
1.629,340.7002886597938
1.639,339.9721237113402
1.649,345.39290721649485
1.659,341.8532164948453
1.669,343.0870515463917
1.679,344.84678350515463
1.689,355.26358762886593
1.699,359.91575257731955
1.709,351.8452577319587
1.719,358.2167010309278
1.729,364.0824742268041
1.739,366.28719587628865
1.749,375.57129896907213
1.7590000000000001,369.907793814433
1.7690000000000001,376.279237113402
1.7790000000000001,374.458824742268
1.7890000000000001,388.0310103092783
1.799,385.98810309278343
1.809,386.1903711340206
1.819,384.9565360824742
1.829,392.94612371134014
1.839,396.0003711340206
1.849,393.6945154639175
1.859,397.7398762886598
1.869,399.58051546391744
1.879,403.2415670103092
1.889,404.6169896907216
1.899,403.60564948453606
1.909,400.63230927835053
1.919,409.9770927835051
1.929,407.38806185567006
1.939,405.1428865979381
1.949,406.8014845360824
1.959,406.1744536082474
1.969,405.18334020618556
1.979,406.84193814432984
1.989,414.5483505154639
1.999,417.1576082474226
2.009,414.6292577319587
2.019,415.60014432989686
2.029,414.04268041237117
2.039,412.32340206185563
2.049,409.8961855670103
2.059,406.275587628866
2.069,410.6243505154639
2.079,418.1689484536082
2.089,414.265175257732
2.099,415.4181030927835
2.109,418.6543917525773
2.119,410.4827628865979
2.129,408.09599999999995
